,smiles,pchembl
136,Cn1cc2c(n1)nc(NC(=O)Nc1ccc3COCc3c1)n1nc(-c3ccco3)nc21,6.62
137,COc1ccc(-n2c(C(=O)c3c(-c4ccccc4)nc(Nc4ccccc4)s3)cnc2N)cc1,6.49
138,Cn1cc2c(n1)nc(NC(=O)NC1CCCCC1)n1nc(-c3ccco3)nc21,7.5
139,O=C(Cc1cccs1)Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccco3)nn12,6.48
140,Cc1ccccc1CNc1nc(Cl)nc2c1ncn2C1SC(C(=O)NC2CC2)C(O)C1O,7.56
141,Cn1cc2c(n1)nc(NCCCO)n1nc(-c3ccco3)nc21,6.62
142,CCC(=O)Nc1nc(-c2ccccc2)cc(-c2ccccc2)n1,6.27
143,CCCCCCCCn1cc2c(n1)nc(NC(=O)NC1CCCCC1)n1nc(-c3ccco3)nc21,6.29
144,Nc1c2ncn(C3OC(CO)C(O)C3O)c2nc(C#Cc2ccccc2)n1,7.2225
145,CCCn1cc2c(n1)nc(NC(=O)NC(C)(C)C)n1nc(-c3ccco3)nc21,6.32
146,COc1ccccc1Cn1nnc2c1nc(N)nc2-c1ccco1,6.47
147,COc1ccccc1C(=O)Nc1n[nH]c(-c2ccccc2)n1,6.22
148,CCOC(=O)c1c(CC)c(C(=O)SCC)c(CC)[n+](C)c1C1CCCC1,6.16
149,OC1C(c2nocc2)OC(n2cnc3c2nc(Cl)nc3NCc2cc(I)ccc2)C1O,8.11
150,Cn1cc2c(n1)nc(N=C(Nc1cccc(C(F)(F)F)c1)Nc1cc(C(F)(F)F)ccc1)n1nc(-c3ccco3)nc21,6.28
151,CCOC(=O)c1nc(N)nc2nn(C(C)C)cc12,4.85
152,CC(C)c1nc(-c2nccs2)c2sccc2n1,6.32
153,Nc1nc(NCc2ccccc2)nc2nc(-c3ccco3)nn12,7.51
154,c1nc2c(nc(Nc3ccc(N4CCOCC4)cc3)nc2NC2CCCC2)[nH]1,5.86
155,CC1(O)C(O)C(CSc2c(F)cccc2)OC1n1cnc2c1nc(Cl)nc2NC1CCCC1,5.94
156,CCCOC(=O)c1c(CCC)c(C(=O)SCC)c(CCOCc2ccccc2)[n+](C)c1-c1ccccc1,6.46
157,COc1ccc(-c2c(C#N)c(N)nc(SCc3ncc[nH]3)c2C#N)cc1,7.62
158,Cc1c(C)c2c(nc(-c3c(-c4ccccc4)nc(NC(=O)c4ccco4)s3)nc2N)s1,6.13
159,O=C(Nc1ccccc1)Nc1nc(-c2ccccc2)nc2nn(CCc3ccccc3)cc12,7.44
160,COc1ccc(-c2nc3cn(-c4ccccc4)nc3c(NC(=O)c3ccccc3)n2)cc1,8.19
161,CCCCn1cc2c(n1)nc(NC(=O)Nc1c(OC)cccc1)n1nc(-c3ccco3)nc21,8.24
162,CCCn1cc2c(n1)nc(NC(=O)Nc1ccc(C(F)(F)F)cc1)n1nc(-c3ccco3)nc21,8.29
163,OC1C(n2cnc3c2nc(Cl)nc3NC(C2CCC2)C2CCC2)C2CC2(CCl)C1O,5.42
164,CNc1nc(-n2cc(-c3ccccn3)nn2)nc2c1ncn2C1OC(CO)C(O)C1O,7.99
165,OCC1OC(n2cnc3c2nc(Cl)nc3NCc2cccc(I)c2)C(O)C1F,7.12
166,NCCC(=O)Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccco3)nn12,5.6
167,O=[N+]([O-])c1ccc(Nc2nc3c(ncnc3N3CCCC3)s2)cc1,5.44
168,CC(C)(C)OC(=O)NCCNc1ncc(C(=O)O)c2nc(-c3ccco3)nn12,5.11
169,COc1ccc(-c2nn3c(N(C(=O)c4ccccc4)C(=O)c4ccccc4)nc4nn(C)cc4c3n2)cc1,8.16
170,Cc1nn(CC2OC(n3cnc4c3nc(Cl)nc4Nc3c(F)cc(Cl)cc3)C(O)C2O)c(C)c1,6.86
171,COc1ccc(-c2cc(NC(=O)C(C)C)nc(-c3ccc(OC)cc3)n2)cc1,7.91
172,CC1=Nc2nc3c(cccc3)n2C(c2ccco2)C1=C(O)OC(C)C,8.7
173,N#Cc1cc(-c2nc(N)c3nc(-c4ccccc4)sc3n2)ccc1,6.61
174,Nc1c2ncn(C3OC(CO)C(O)C3O)c2nc(Cl)n1,7.72
175,Cn1cc2c(n1)nc(NCCO)n1nc(-c3ccco3)nc21,6.51
176,CCCOC(O)=C1C(C)=NC(c2ccccc2)=C(C(=O)OCC)C1C,5.68
177,OC1C(O)C(n2cnc3c2nc(Cl)nc3NC(C2CCC2)C2CCC2)C2CC12,6.08
178,CCOc1c2nc(Nc3cccc(OC)c3)sc2nc(C)n1,6.96
179,CC1(C)c2c(cc(NC3N=CNc4c3ncn4C3OC(CO)C(O)C3O)cc2)C(C)(C)N1[O],9.1
180,CCCCC(CC)CNc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,8.42
181,CCC(=O)Nc1nc(-c2ccc(OC)cc2)nc(-c2ccc(OC)cc2)c1,8.44
182,Nc1c2ncn(C3OC(CO)C(O)C3O)c2nc(SC2CCCC2)n1,4.98
183,O=C(Nc1ccccc1)Nc1nc(NCc2ccccc2)nc2nc(-c3ccco3)nn12,7.53
184,CC(C)(C)n1cc2c(n1)nc(NC(=O)Nc1cccc(Cl)c1)n1nc(-c3ccco3)nc21,7.56
185,CCCC(=O)Nc1nc(-c2cc3c(cc2)OCO3)cc(-c2ccc3OCOc3c2)n1,6.12
186,CC(C)N=C(Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12)NC(C)C,7.48
187,CONc1c2ncn(C3C(O)C(O)C4CC43)c2nc(C#Cc2ccccc2)n1,7.89
188,CNc1c2ncn(C3C(O)C(O)C4CC43)c2nc(C#Cc2c(Cl)cccc2)n1,8.49
189,CCCCn1cc2c(n1)nc(NC(=O)Nc1ccc(Br)cc1)n1nc(-c3ccco3)nc21,8.04
